날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2003.05.02,307000.0,2000.0,305000.0,310000.0,300500.0,822432.0
2003.04.30,305000.0,4500.0,302000.0,306500.0,299500.0,640825.0
2003.04.29,300500.0,15500.0,293500.0,301500.0,291000.0,624782.0
2003.04.28,285000.0,2500.0,284500.0,292000.0,283000.0,544833.0
2003.04.25,287500.0,7500.0,290000.0,292000.0,285000.0,715217.0
,,,,,,
,,,,,,
,,,,,,
2003.04.24,295000.0,5000.0,299000.0,302000.0,292000.0,476185.0
2003.04.23,300000.0,1500.0,302500.0,305500.0,299000.0,473874.0
2003.04.22,298500.0,10500.0,305000.0,307000.0,297500.0,713899.0
2003.04.21,309000.0,6000.0,312000.0,317000.0,308500.0,409736.0
2003.04.18,315000.0,13000.0,310500.0,315000.0,303000.0,815768.0
,,,,,,
