날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2005.12.01,606000.0,8000.0,596000.0,608000.0,595000.0,406300.0
2005.11.30,598000.0,4000.0,593000.0,604000.0,593000.0,358182.0
2005.11.29,594000.0,7000.0,598000.0,602000.0,588000.0,350219.0
2005.11.28,601000.0,1000.0,600000.0,603000.0,596000.0,188687.0
2005.11.25,600000.0,8000.0,608000.0,611000.0,596000.0,315126.0
,,,,,,
,,,,,,
,,,,,,
2005.11.24,608000.0,1000.0,618000.0,618000.0,605000.0,310103.0
2005.11.23,607000.0,17000.0,600000.0,613000.0,599000.0,864854.0
2005.11.22,590000.0,31000.0,611000.0,612000.0,587000.0,912923.0
2005.11.21,621000.0,6000.0,632000.0,632000.0,612000.0,481865.0
2005.11.18,627000.0,3000.0,625000.0,630000.0,619000.0,291995.0
,,,,,,
