날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
1998.10.12,43800.0,2000.0,41800.0,44300.0,40100.0,1218230.0
1998.10.10,41800.0,400.0,42200.0,43100.0,41500.0,814200.0
1998.10.09,42200.0,4250.0,40000.0,42500.0,38800.0,1470280.0
1998.10.08,37950.0,950.0,38000.0,38900.0,37950.0,772740.0
1998.10.07,37000.0,100.0,37600.0,38450.0,37000.0,783920.0
,,,,,,
,,,,,,
,,,,,,
1998.10.02,36900.0,100.0,36400.0,37100.0,35900.0,358110.0
1998.10.01,36800.0,1200.0,37600.0,37800.0,36550.0,389970.0
1998.09.30,38000.0,1000.0,38500.0,38900.0,37600.0,482440.0
1998.09.29,39000.0,1800.0,37350.0,39000.0,37050.0,587660.0
1998.09.28,37200.0,900.0,38700.0,39500.0,37200.0,543070.0
,,,,,,
