날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2010.01.25,842000.0,17000.0,816000.0,848000.0,815000.0,412797.0
2010.01.22,825000.0,25000.0,840000.0,845000.0,818000.0,470536.0
2010.01.21,850000.0,16000.0,820000.0,850000.0,820000.0,340148.0
2010.01.20,834000.0,11000.0,823000.0,837000.0,823000.0,384306.0
2010.01.19,823000.0,20000.0,850000.0,850000.0,822000.0,241308.0
,,,,,,
,,,,,,
,,,,,,
2010.01.18,843000.0,1000.0,840000.0,846000.0,828000.0,261691.0
2010.01.15,842000.0,15000.0,832000.0,843000.0,829000.0,398401.0
2010.01.14,827000.0,30000.0,806000.0,831000.0,800000.0,532705.0
2010.01.13,797000.0,12000.0,805000.0,806000.0,797000.0,267619.0
2010.01.12,809000.0,12000.0,797000.0,809000.0,795000.0,384460.0
,,,,,,
