날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
1998.09.15,40900.0,1050.0,41750.0,42000.0,40000.0,698220.0
1998.09.14,41950.0,650.0,42100.0,42500.0,41500.0,410550.0
1998.09.12,42600.0,100.0,43000.0,43300.0,42100.0,326350.0
1998.09.11,42500.0,3000.0,43700.0,44400.0,42500.0,588820.0
1998.09.10,45500.0,100.0,45000.0,45500.0,44200.0,1144380.0
,,,,,,
,,,,,,
,,,,,,
1998.09.09,45600.0,700.0,46900.0,47500.0,44600.0,647890.0
1998.09.08,46300.0,1800.0,48500.0,49500.0,46200.0,618950.0
1998.09.07,48100.0,3100.0,45500.0,48500.0,45400.0,686160.0
1998.09.05,45000.0,400.0,45400.0,45400.0,44800.0,63860.0
1998.09.04,45400.0,500.0,44900.0,45900.0,44900.0,323450.0
,,,,,,
