날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
1999.07.22,172000.0,5500.0,164500.0,173000.0,164000.0,1157303.0
1999.07.21,166500.0,4500.0,168500.0,169000.0,158000.0,1186533.0
1999.07.20,171000.0,2000.0,173000.0,178000.0,171000.0,1030892.0
1999.07.19,173000.0,500.0,180000.0,181000.0,168000.0,1148678.0
1999.07.16,172500.0,4500.0,169000.0,177000.0,169000.0,1388163.0
,,,,,,
,,,,,,
,,,,,,
1999.07.15,168000.0,11000.0,160000.0,169500.0,158500.0,1447788.0
1999.07.14,157000.0,500.0,157500.0,162000.0,155000.0,1251715.0
1999.07.13,156500.0,7000.0,146500.0,162500.0,146500.0,1627833.0
1999.07.12,149500.0,7500.0,156000.0,159000.0,149500.0,1090993.0
1999.07.09,157000.0,3000.0,160000.0,160000.0,152000.0,1393425.0
,,,,,,
