날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2012.07.05,1185000.0,6000.0,1187000.0,1194000.0,1177000.0,181784.0
2012.07.04,1191000.0,16000.0,1182000.0,1197000.0,1178000.0,383678.0
2012.07.03,1175000.0,1000.0,1182000.0,1193000.0,1170000.0,316380.0
2012.07.02,1174000.0,27000.0,1208000.0,1209000.0,1171000.0,383135.0
2012.06.29,1201000.0,33000.0,1167000.0,1201000.0,1153000.0,373478.0
,,,,,,
,,,,,,
,,,,,,
2012.06.28,1168000.0,1000.0,1167000.0,1180000.0,1153000.0,208420.0
2012.06.27,1167000.0,28000.0,1140000.0,1177000.0,1130000.0,471673.0
2012.06.26,1139000.0,7000.0,1133000.0,1149000.0,1129000.0,506211.0
2012.06.25,1132000.0,50000.0,1171000.0,1178000.0,1128000.0,828723.0
2012.06.22,1182000.0,45000.0,1189000.0,1202000.0,1180000.0,626943.0
,,,,,,
