날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2006.02.27,691000.0,10000.0,678000.0,691000.0,677000.0,245877.0
2006.02.24,681000.0,0.0,678000.0,682000.0,675000.0,282337.0
2006.02.23,681000.0,11000.0,671000.0,684000.0,671000.0,332151.0
2006.02.22,670000.0,2000.0,669000.0,679000.0,663000.0,499074.0
2006.02.21,672000.0,11000.0,682000.0,683000.0,670000.0,358335.0
,,,,,,
,,,,,,
,,,,,,
2006.02.20,683000.0,10000.0,668000.0,684000.0,667000.0,362991.0
2006.02.17,673000.0,17000.0,661000.0,674000.0,660000.0,443189.0
2006.02.16,656000.0,2000.0,651000.0,657000.0,646000.0,497309.0
2006.02.15,654000.0,19000.0,678000.0,678000.0,654000.0,676967.0
2006.02.14,673000.0,5000.0,670000.0,677000.0,663000.0,543456.0
,,,,,,
