날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2004.09.03,436500.0,15500.0,446000.0,448000.0,436500.0,647732.0
2004.09.02,452000.0,1000.0,452000.0,456000.0,448000.0,352113.0
2004.09.01,453000.0,2000.0,451000.0,457000.0,447500.0,377377.0
2004.08.31,451000.0,7000.0,451000.0,454000.0,446500.0,468386.0
2004.08.30,458000.0,500.0,458500.0,462500.0,455500.0,241630.0
,,,,,,
,,,,,,
,,,,,,
2004.08.27,458500.0,2500.0,456000.0,460000.0,454000.0,402941.0
2004.08.26,456000.0,5000.0,455000.0,459000.0,453500.0,497112.0
2004.08.25,451000.0,6000.0,446000.0,453000.0,443000.0,457356.0
2004.08.24,445000.0,7000.0,439000.0,447000.0,434500.0,405015.0
2004.08.23,438000.0,4000.0,437000.0,439500.0,431000.0,435439.0
,,,,,,
