날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2006.08.08,615000.0,9000.0,605000.0,617000.0,605000.0,279143.0
2006.08.07,606000.0,9000.0,619000.0,619000.0,604000.0,301027.0
2006.08.04,615000.0,5000.0,612000.0,617000.0,612000.0,162429.0
2006.08.03,610000.0,1000.0,618000.0,619000.0,610000.0,251309.0
2006.08.02,609000.0,4000.0,603000.0,614000.0,602000.0,218896.0
,,,,,,
,,,,,,
,,,,,,
2006.08.01,605000.0,3000.0,609000.0,615000.0,605000.0,267449.0
2006.07.31,608000.0,8000.0,610000.0,614000.0,608000.0,553216.0
2006.07.28,600000.0,4000.0,600000.0,604000.0,597000.0,196304.0
2006.07.27,604000.0,5000.0,599000.0,605000.0,594000.0,305647.0
2006.07.26,599000.0,1000.0,598000.0,604000.0,596000.0,153988.0
,,,,,,
