날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2012.04.23,1279000.0,3000.0,1269000.0,1280000.0,1262000.0,168229.0
2012.04.20,1282000.0,25000.0,1294000.0,1297000.0,1278000.0,198642.0
2012.04.19,1307000.0,14000.0,1292000.0,1307000.0,1289000.0,263389.0
2012.04.18,1293000.0,44000.0,1277000.0,1302000.0,1269000.0,345320.0
2012.04.17,1249000.0,10000.0,1251000.0,1264000.0,1241000.0,291687.0
,,,,,,
,,,,,,
,,,,,,
2012.04.16,1259000.0,9000.0,1273000.0,1276000.0,1250000.0,305181.0
2012.04.13,1268000.0,5000.0,1265000.0,1277000.0,1260000.0,709175.0
2012.04.12,1273000.0,38000.0,1283000.0,1299000.0,1268000.0,505706.0
2012.04.10,1311000.0,6000.0,1314000.0,1320000.0,1307000.0,223655.0
2012.04.09,1317000.0,15000.0,1320000.0,1330000.0,1306000.0,172210.0
,,,,,,
