날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2018.01.15,2427000.0,17000.0,2440000.0,2449000.0,2396000.0,201920.0
2018.01.12,2410000.0,2000.0,2412000.0,2424000.0,2338000.0,545409.0
2018.01.11,2412000.0,30000.0,2410000.0,2463000.0,2401000.0,502476.0
2018.01.10,2442000.0,78000.0,2525000.0,2526000.0,2432000.0,371336.0
2018.01.09,2520000.0,81000.0,2573000.0,2586000.0,2499000.0,360272.0
,,,,,,
,,,,,,
,,,,,,
2018.01.08,2601000.0,5000.0,2620000.0,2626000.0,2575000.0,167673.0
2018.01.05,2606000.0,52000.0,2565000.0,2606000.0,2560000.0,189623.0
2018.01.04,2554000.0,27000.0,2606000.0,2609000.0,2532000.0,233909.0
2018.01.03,2581000.0,30000.0,2627000.0,2628000.0,2571000.0,200270.0
2018.01.02,2551000.0,3000.0,2569000.0,2570000.0,2539000.0,169485.0
,,,,,,
