날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2005.05.27,490000.0,8000.0,490000.0,493000.0,486500.0,375574.0
2005.05.26,482000.0,2500.0,481500.0,485000.0,479500.0,277951.0
2005.05.25,484500.0,10500.0,493500.0,496500.0,483500.0,426388.0
2005.05.24,495000.0,3000.0,496500.0,498500.0,493000.0,255070.0
2005.05.23,498000.0,500.0,496000.0,498500.0,494500.0,160941.0
,,,,,,
,,,,,,
,,,,,,
2005.05.20,498500.0,0.0,499500.0,502000.0,495000.0,233768.0
2005.05.19,498500.0,9000.0,493000.0,501000.0,492500.0,508780.0
2005.05.18,489500.0,0.0,494500.0,495000.0,489000.0,341989.0
2005.05.17,489500.0,1500.0,490000.0,493000.0,483500.0,363568.0
2005.05.16,488000.0,6500.0,485000.0,490000.0,484000.0,347032.0
,,,,,,
