날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2020.11.19,64600.0,200.0,64100.0,64800.0,63900.0,16590290.0
2020.11.18,64800.0,900.0,65700.0,66200.0,64700.0,22963790.0
2020.11.17,65700.0,600.0,67000.0,67000.0,65600.0,30204089.0
2020.11.16,66300.0,3100.0,64000.0,66700.0,63900.0,36354334.0
2020.11.13,63200.0,2200.0,61300.0,63200.0,61000.0,31508829.0
,,,,,,
,,,,,,
,,,,,,
2020.11.12,61000.0,300.0,61000.0,61400.0,60700.0,19800573.0
2020.11.11,61300.0,1100.0,60700.0,61400.0,60400.0,25628510.0
2020.11.10,60200.0,0.0,60500.0,60500.0,59500.0,19073552.0
2020.11.09,60200.0,100.0,60700.0,60900.0,60100.0,15892961.0
2020.11.06,60100.0,200.0,60700.0,60800.0,59600.0,16910230.0
,,,,,,
