날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2015.08.04,1182000.0,7000.0,1175000.0,1187000.0,1170000.0,256887.0
2015.08.03,1175000.0,10000.0,1184000.0,1184000.0,1166000.0,196891.0
2015.07.31,1185000.0,30000.0,1220000.0,1222000.0,1175000.0,391589.0
2015.07.30,1215000.0,48000.0,1258000.0,1260000.0,1215000.0,308392.0
2015.07.29,1263000.0,33000.0,1250000.0,1275000.0,1231000.0,274689.0
,,,,,,
,,,,,,
,,,,,,
2015.07.28,1230000.0,0.0,1224000.0,1251000.0,1219000.0,267627.0
2015.07.27,1230000.0,1000.0,1229000.0,1247000.0,1228000.0,243040.0
2015.07.24,1229000.0,5000.0,1227000.0,1238000.0,1224000.0,196584.0
2015.07.23,1234000.0,19000.0,1244000.0,1253000.0,1234000.0,208965.0
2015.07.22,1253000.0,10000.0,1244000.0,1260000.0,1235000.0,268323.0
,,,,,,
