날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2021.02.18,82100.0,1100.0,83200.0,83600.0,82100.0,21327683.0
2021.02.17,83200.0,1700.0,83900.0,84200.0,83000.0,18307735.0
2021.02.16,84900.0,700.0,84500.0,86000.0,84200.0,20483100.0
2021.02.15,84200.0,2600.0,83800.0,84500.0,83300.0,23529706.0
2021.02.10,81600.0,1100.0,82600.0,82600.0,81600.0,23025766.0
,,,,,,
,,,,,,
,,,,,,
2021.02.09,82700.0,300.0,84000.0,84800.0,82700.0,20898332.0
2021.02.08,83000.0,500.0,83800.0,84200.0,83000.0,15338765.0
2021.02.05,83500.0,1000.0,83100.0,84000.0,82500.0,18036835.0
2021.02.04,82500.0,2100.0,83500.0,83800.0,82100.0,24171688.0
2021.02.03,84600.0,200.0,84800.0,85400.0,83400.0,22112205.0
,,,,,,
