날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2003.12.11,452500.0,500.0,453000.0,461500.0,452500.0,1015208.0
2003.12.10,453000.0,8000.0,437500.0,453000.0,436000.0,1041971.0
2003.12.09,445000.0,5000.0,449000.0,454000.0,444000.0,392066.0
2003.12.08,450000.0,1500.0,451500.0,453000.0,441000.0,576982.0
2003.12.05,451500.0,9500.0,460500.0,460500.0,449500.0,567509.0
,,,,,,
,,,,,,
,,,,,,
2003.12.04,461000.0,10000.0,468000.0,470000.0,461000.0,430977.0
2003.12.03,471000.0,2500.0,470000.0,475500.0,466500.0,341156.0
2003.12.02,468500.0,2500.0,469500.0,470500.0,466500.0,388327.0
2003.12.01,466000.0,1000.0,465000.0,470000.0,460500.0,353318.0
2003.11.28,465000.0,9500.0,456500.0,467000.0,456500.0,364500.0
,,,,,,
