날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2010.05.06,814000.0,20000.0,817000.0,819000.0,810000.0,451765.0
2010.05.04,834000.0,5000.0,840000.0,843000.0,830000.0,183456.0
2010.05.03,829000.0,20000.0,845000.0,845000.0,827000.0,291445.0
2010.04.30,849000.0,24000.0,828000.0,852000.0,827000.0,454668.0
2010.04.29,825000.0,0.0,830000.0,831000.0,816000.0,226931.0
,,,,,,
,,,,,,
,,,,,,
2010.04.28,825000.0,10000.0,820000.0,825000.0,818000.0,320393.0
2010.04.27,835000.0,1000.0,831000.0,838000.0,827000.0,260996.0
2010.04.26,834000.0,4000.0,835000.0,842000.0,830000.0,260608.0
2010.04.23,830000.0,11000.0,848000.0,848000.0,828000.0,309436.0
2010.04.22,841000.0,11000.0,849000.0,849000.0,833000.0,343557.0
,,,,,,
