날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2019.05.23,43850.0,350.0,43900.0,44000.0,43250.0,12259006.0
2019.05.22,43500.0,350.0,43700.0,43800.0,42400.0,11033339.0
2019.05.21,43150.0,1150.0,42600.0,43950.0,42350.0,18812133.0
2019.05.20,42000.0,800.0,41650.0,42100.0,41550.0,15752397.0
2019.05.17,41200.0,350.0,41950.0,42050.0,40850.0,13357951.0
,,,,,,
,,,,,,
,,,,,,
2019.05.16,41550.0,1000.0,42350.0,42400.0,41350.0,13687828.0
2019.05.15,42550.0,100.0,42700.0,43050.0,42550.0,7670185.0
2019.05.14,42650.0,0.0,41300.0,43100.0,41300.0,11563730.0
2019.05.13,42650.0,250.0,42500.0,43200.0,42350.0,7635079.0
2019.05.10,42900.0,450.0,42600.0,43450.0,42450.0,14579512.0
,,,,,,
