날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2011.08.17,752000.0,2000.0,751000.0,760000.0,741000.0,293405.0
2011.08.16,750000.0,43000.0,735000.0,750000.0,726000.0,601622.0
2011.08.12,707000.0,1000.0,721000.0,722000.0,700000.0,677828.0
2011.08.11,708000.0,12000.0,688000.0,725000.0,688000.0,794832.0
2011.08.10,720000.0,4000.0,760000.0,760000.0,720000.0,986557.0
,,,,,,
,,,,,,
,,,,,,
2011.08.09,724000.0,36000.0,750000.0,753000.0,696000.0,990040.0
2011.08.08,760000.0,29000.0,770000.0,789000.0,760000.0,607518.0
2011.08.05,789000.0,32000.0,792000.0,805000.0,789000.0,609081.0
2011.08.04,821000.0,12000.0,839000.0,839000.0,815000.0,346496.0
2011.08.03,833000.0,19000.0,840000.0,844000.0,824000.0,408465.0
,,,,,,
