날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2013.01.14,1552000.0,19000.0,1539000.0,1552000.0,1528000.0,160602.0
2013.01.11,1533000.0,3000.0,1548000.0,1548000.0,1507000.0,238982.0
2013.01.10,1530000.0,30000.0,1515000.0,1534000.0,1500000.0,293482.0
2013.01.09,1500000.0,0.0,1500000.0,1513000.0,1491000.0,253720.0
2013.01.08,1500000.0,20000.0,1513000.0,1517000.0,1498000.0,276757.0
,,,,,,
,,,,,,
,,,,,,
2013.01.07,1520000.0,5000.0,1515000.0,1528000.0,1500000.0,252436.0
2013.01.04,1525000.0,18000.0,1540000.0,1542000.0,1510000.0,260120.0
2013.01.03,1543000.0,33000.0,1582000.0,1584000.0,1543000.0,284927.0
2013.01.02,1576000.0,54000.0,1533000.0,1576000.0,1527000.0,229274.0
2012.12.28,1522000.0,26000.0,1488000.0,1530000.0,1487000.0,212266.0
,,,,,,
