날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
1999.04.14,94000.0,1400.0,97900.0,97900.0,94000.0,541010.0
1999.04.13,95400.0,300.0,95800.0,96800.0,95200.0,370175.0
1999.04.12,95700.0,3100.0,98800.0,98800.0,95000.0,528800.0
1999.04.09,98800.0,1600.0,98800.0,99000.0,95400.0,531670.0
1999.04.08,97200.0,800.0,97500.0,98900.0,96000.0,462018.0
,,,,,,
,,,,,,
,,,,,,
1999.04.07,98000.0,3000.0,95000.0,99900.0,94200.0,1160590.0
1999.04.06,95000.0,1000.0,96000.0,98500.0,94800.0,508559.0
1999.04.02,96000.0,0.0,96000.0,99000.0,95300.0,272639.0
1999.04.01,96000.0,1000.0,95100.0,96500.0,94000.0,388500.0
1999.03.31,95000.0,0.0,93300.0,95200.0,93300.0,321202.0
,,,,,,
