날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2008.04.08,646000.0,4000.0,643000.0,648000.0,636000.0,341622.0
2008.04.07,650000.0,0.0,646000.0,661000.0,646000.0,411714.0
2008.04.04,650000.0,12000.0,662000.0,662000.0,647000.0,350113.0
2008.04.03,662000.0,1000.0,661000.0,667000.0,656000.0,433515.0
2008.04.02,661000.0,25000.0,652000.0,662000.0,651000.0,778721.0
,,,,,,
,,,,,,
,,,,,,
2008.04.01,636000.0,13000.0,628000.0,641000.0,618000.0,679572.0
2008.03.31,623000.0,10000.0,617000.0,629000.0,612000.0,586773.0
2008.03.28,613000.0,8000.0,605000.0,618000.0,603000.0,506860.0
2008.03.27,605000.0,7000.0,606000.0,608000.0,596000.0,418533.0
2008.03.26,612000.0,2000.0,619000.0,619000.0,609000.0,318996.0
,,,,,,
