날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
1999.12.28,266000.0,5000.0,260000.0,278000.0,252500.0,1481697.0
1999.12.27,261000.0,12000.0,273000.0,274500.0,257000.0,934057.0
1999.12.24,273000.0,6000.0,285000.0,286000.0,268000.0,708446.0
1999.12.23,279000.0,15000.0,264000.0,285000.0,262000.0,1057262.0
1999.12.22,264000.0,12000.0,257000.0,267500.0,253000.0,826858.0
,,,,,,
,,,,,,
,,,,,,
1999.12.21,252000.0,3500.0,250000.0,268000.0,245000.0,967402.0
1999.12.20,248500.0,3500.0,248000.0,252000.0,244000.0,656436.0
1999.12.17,245000.0,6000.0,242000.0,249000.0,237000.0,1072150.0
1999.12.16,239000.0,5500.0,241500.0,244500.0,235500.0,703962.0
1999.12.15,244500.0,11000.0,252000.0,254500.0,237500.0,910813.0
,,,,,,
