날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
1997.10.28,44200.0,3800.0,45100.0,45500.0,44200.0,213390.0
1997.10.27,48000.0,4100.0,51100.0,52500.0,48000.0,233710.0
1997.10.25,52100.0,4500.0,56500.0,56500.0,52100.0,146970.0
1997.10.24,56600.0,4900.0,56700.0,58700.0,56600.0,212730.0
1997.10.23,61500.0,1300.0,60200.0,61500.0,58600.0,114360.0
,,,,,,
,,,,,,
,,,,,,
1997.10.22,60200.0,4400.0,56700.0,60200.0,56000.0,120850.0
1997.10.21,55800.0,200.0,55000.0,57500.0,54200.0,132990.0
1997.10.20,56000.0,1500.0,56700.0,57400.0,55000.0,124080.0
1997.10.18,57500.0,300.0,57500.0,58000.0,56500.0,37620.0
1997.10.17,57200.0,1000.0,56200.0,57500.0,54000.0,131070.0
,,,,,,
