날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2009.03.27,584000.0,14000.0,581000.0,589000.0,574000.0,570942.0
2009.03.26,570000.0,14000.0,551000.0,571000.0,548000.0,417543.0
2009.03.25,556000.0,3000.0,550000.0,559000.0,550000.0,255161.0
2009.03.24,559000.0,10000.0,560000.0,560000.0,548000.0,496199.0
2009.03.23,549000.0,7000.0,542000.0,555000.0,542000.0,348027.0
,,,,,,
,,,,,,
,,,,,,
2009.03.20,542000.0,1000.0,535000.0,549000.0,535000.0,351232.0
2009.03.19,541000.0,1000.0,547000.0,549000.0,537000.0,390350.0
2009.03.18,540000.0,6000.0,538000.0,541000.0,527000.0,338260.0
2009.03.17,534000.0,11000.0,528000.0,537000.0,517000.0,404265.0
2009.03.16,523000.0,5000.0,526000.0,536000.0,517000.0,294232.0
,,,,,,
