날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2020.10.07,59900.0,900.0,58700.0,59900.0,58500.0,14861838.0
2020.10.06,59000.0,300.0,59400.0,59900.0,58700.0,14463826.0
2020.10.05,58700.0,500.0,57500.0,59200.0,57500.0,20228289.0
2020.09.29,58200.0,0.0,58300.0,59000.0,58200.0,15503563.0
2020.09.28,58200.0,300.0,58300.0,58800.0,57900.0,12614080.0
,,,,,,
,,,,,,
,,,,,,
2020.09.25,57900.0,100.0,57700.0,58200.0,57700.0,11444683.0
2020.09.24,57800.0,800.0,57700.0,58600.0,57600.0,17564020.0
2020.09.23,58600.0,400.0,58400.0,58800.0,57400.0,20111398.0
2020.09.22,58200.0,1000.0,59100.0,59700.0,57800.0,20830381.0
2020.09.21,59200.0,100.0,59100.0,60000.0,59000.0,15140387.0
,,,,,,
