날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2006.05.11,663000.0,6000.0,657000.0,663000.0,653000.0,370124.0
2006.05.10,657000.0,4000.0,661000.0,665000.0,652000.0,358504.0
2006.05.09,661000.0,6000.0,658000.0,668000.0,657000.0,374489.0
2006.05.08,655000.0,10000.0,655000.0,662000.0,651000.0,360331.0
2006.05.04,645000.0,6000.0,639000.0,647000.0,635000.0,358570.0
,,,,,,
,,,,,,
,,,,,,
2006.05.03,639000.0,10000.0,649000.0,656000.0,639000.0,422943.0
2006.05.02,649000.0,5000.0,644000.0,651000.0,632000.0,554295.0
2006.04.28,644000.0,20000.0,662000.0,662000.0,643000.0,558038.0
2006.04.27,664000.0,4000.0,668000.0,670000.0,658000.0,387665.0
2006.04.26,668000.0,8000.0,660000.0,668000.0,654000.0,444159.0
,,,,,,
