날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
1998.10.23,51200.0,300.0,50900.0,52700.0,50000.0,879790.0
1998.10.22,50900.0,100.0,51000.0,52000.0,50500.0,832580.0
1998.10.21,51000.0,2000.0,53500.0,53900.0,50200.0,1191590.0
1998.10.20,53000.0,3900.0,49100.0,53000.0,47700.0,1374730.0
1998.10.19,49100.0,4400.0,53500.0,53900.0,48600.0,1219940.0
,,,,,,
,,,,,,
,,,,,,
1998.10.17,53500.0,500.0,52000.0,54000.0,51600.0,1017800.0
1998.10.16,53000.0,3050.0,54900.0,55000.0,51200.0,2427270.0
1998.10.15,49950.0,5350.0,45800.0,49950.0,45600.0,1671890.0
1998.10.14,44600.0,2100.0,43500.0,44900.0,42500.0,1089740.0
1998.10.13,42500.0,1300.0,43500.0,45400.0,42100.0,1353970.0
,,,,,,
