날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2021.04.16,83900.0,200.0,84700.0,84700.0,83600.0,15429522.0
2021.04.15,84100.0,100.0,83700.0,84500.0,83400.0,16377412.0
2021.04.14,84000.0,0.0,84000.0,84300.0,83400.0,13794652.0
2021.04.13,84000.0,800.0,83000.0,84500.0,82800.0,15238206.0
2021.04.12,83200.0,400.0,84100.0,84100.0,83100.0,12915282.0
,,,,,,
,,,,,,
,,,,,,
2021.04.09,83600.0,1100.0,84700.0,84900.0,83400.0,18193707.0
2021.04.08,84700.0,900.0,85700.0,85700.0,84100.0,19244259.0
2021.04.07,85600.0,400.0,86100.0,86200.0,85400.0,17885538.0
2021.04.06,86000.0,600.0,86200.0,86200.0,85100.0,19042023.0
2021.04.05,85400.0,600.0,85800.0,86000.0,84800.0,16255990.0
,,,,,,
