날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2000.03.31,335000.0,17500.0,340000.0,353500.0,332500.0,1277121.0
2000.03.30,352500.0,30500.0,376000.0,378000.0,352500.0,1492996.0
2000.03.29,383000.0,31500.0,351500.0,384000.0,349000.0,1558559.0
2000.03.28,351500.0,11500.0,345000.0,363000.0,341000.0,1488500.0
2000.03.27,340000.0,0.0,348000.0,352000.0,335000.0,1354177.0
,,,,,,
,,,,,,
,,,,,,
2000.03.24,340000.0,30000.0,316000.0,356000.0,309000.0,1805280.0
2000.03.23,310000.0,0.0,324000.0,329000.0,310000.0,1299012.0
2000.03.22,310000.0,16000.0,298000.0,315000.0,294000.0,1739537.0
2000.03.21,294000.0,11000.0,285000.0,297000.0,280500.0,898587.0
2000.03.20,283000.0,9000.0,280000.0,285500.0,276500.0,527321.0
,,,,,,
