날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2020.08.21,55900.0,500.0,56200.0,56900.0,55800.0,21142288.0
2020.08.20,55400.0,2400.0,57600.0,57600.0,55300.0,30386029.0
2020.08.19,57800.0,600.0,59000.0,59200.0,57800.0,16930719.0
2020.08.18,58400.0,400.0,58900.0,59900.0,58000.0,25307825.0
2020.08.14,58000.0,700.0,58000.0,58400.0,57700.0,15672548.0
,,,,,,
,,,,,,
,,,,,,
2020.08.13,58700.0,300.0,59400.0,59600.0,58000.0,22089460.0
2020.08.12,59000.0,800.0,58200.0,59000.0,57700.0,18573934.0
2020.08.11,58200.0,400.0,58000.0,59500.0,57800.0,24907912.0
2020.08.10,57800.0,300.0,57600.0,58300.0,57500.0,17774291.0
2020.08.07,57500.0,500.0,57900.0,58400.0,57100.0,18751717.0
,,,,,,
