날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2008.04.23,653000.0,22000.0,668000.0,675000.0,653000.0,508013.0
2008.04.22,675000.0,1000.0,670000.0,679000.0,668000.0,367195.0
2008.04.21,674000.0,9000.0,675000.0,676000.0,666000.0,429666.0
2008.04.18,665000.0,4000.0,662000.0,677000.0,662000.0,504488.0
2008.04.17,661000.0,10000.0,668000.0,671000.0,660000.0,404439.0
,,,,,,
,,,,,,
,,,,,,
2008.04.16,651000.0,7000.0,660000.0,665000.0,647000.0,502937.0
2008.04.15,658000.0,20000.0,678000.0,679000.0,658000.0,392714.0
2008.04.14,678000.0,2000.0,670000.0,678000.0,662000.0,420276.0
2008.04.11,680000.0,24000.0,660000.0,680000.0,660000.0,795995.0
2008.04.10,656000.0,10000.0,643000.0,662000.0,639000.0,674191.0
,,,,,,
