날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
1997.05.21,63500.0,1500.0,65000.0,65000.0,63200.0,121030.0
1997.05.20,65000.0,1700.0,64000.0,65000.0,63300.0,265880.0
1997.05.19,63300.0,500.0,63100.0,63500.0,61800.0,126430.0
1997.05.17,62800.0,200.0,63100.0,63500.0,62000.0,56860.0
1997.05.16,63000.0,600.0,63500.0,64000.0,62800.0,168390.0
,,,,,,
,,,,,,
,,,,,,
1997.05.15,63600.0,1800.0,62000.0,64200.0,61900.0,188280.0
1997.05.13,61800.0,800.0,61100.0,61800.0,60200.0,75720.0
1997.05.12,61000.0,1100.0,60600.0,61600.0,60100.0,106040.0
1997.05.10,59900.0,0.0,60000.0,60900.0,59800.0,45330.0
1997.05.09,59900.0,600.0,59500.0,60000.0,59000.0,80550.0
,,,,,,
