날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2002.05.28,369500.0,8000.0,362500.0,370000.0,360500.0,469593.0
2002.05.27,361500.0,4500.0,360000.0,369500.0,359500.0,387056.0
2002.05.24,366000.0,6000.0,368000.0,371000.0,365000.0,688056.0
2002.05.23,360000.0,10000.0,367000.0,369000.0,359500.0,740371.0
2002.05.22,370000.0,14000.0,355000.0,370000.0,351500.0,759299.0
,,,,,,
,,,,,,
,,,,,,
2002.05.21,356000.0,14000.0,364500.0,368000.0,355000.0,806714.0
2002.05.20,370000.0,12500.0,380000.0,380500.0,370000.0,604934.0
2002.05.17,382500.0,12500.0,375000.0,383500.0,373500.0,807100.0
2002.05.16,370000.0,6000.0,376000.0,376500.0,369500.0,612939.0
2002.05.15,376000.0,18000.0,368000.0,381000.0,367000.0,1412274.0
,,,,,,
