날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2009.04.10,603000.0,23000.0,597000.0,603000.0,588000.0,654511.0
2009.04.09,580000.0,23000.0,561000.0,584000.0,560000.0,618462.0
2009.04.08,557000.0,27000.0,574000.0,578000.0,555000.0,629676.0
2009.04.07,584000.0,10000.0,591000.0,595000.0,583000.0,548239.0
2009.04.06,594000.0,1000.0,593000.0,613000.0,593000.0,666796.0
,,,,,,
,,,,,,
,,,,,,
2009.04.03,593000.0,2000.0,599000.0,600000.0,584000.0,494771.0
2009.04.02,591000.0,21000.0,584000.0,591000.0,575000.0,574300.0
2009.04.01,570000.0,2000.0,570000.0,580000.0,559000.0,499210.0
2009.03.31,568000.0,1000.0,564000.0,584000.0,563000.0,400383.0
2009.03.30,567000.0,17000.0,581000.0,590000.0,565000.0,367430.0
,,,,,,
