날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2002.10.24,334000.0,6000.0,332500.0,338000.0,332000.0,1005967.0
2002.10.23,328000.0,8500.0,320500.0,328000.0,313500.0,935038.0
2002.10.22,319500.0,4500.0,331500.0,332000.0,313000.0,806741.0
2002.10.21,324000.0,2500.0,325000.0,331500.0,321000.0,650290.0
2002.10.18,326500.0,19000.0,320000.0,330500.0,316000.0,1814446.0
,,,,,,
,,,,,,
,,,,,,
2002.10.17,307500.0,2500.0,303000.0,311000.0,296500.0,1162533.0
2002.10.16,305000.0,5000.0,305000.0,307000.0,297500.0,1056456.0
2002.10.15,300000.0,12000.0,293000.0,302500.0,287500.0,918245.0
2002.10.14,288000.0,14500.0,285000.0,290500.0,283000.0,966420.0
2002.10.11,273500.0,0.0,283500.0,283500.0,265500.0,1354700.0
,,,,,,
