날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2011.09.16,798000.0,27000.0,794000.0,811000.0,792000.0,476632.0
2011.09.15,771000.0,18000.0,784000.0,784000.0,765000.0,426593.0
2011.09.14,753000.0,27000.0,780000.0,781000.0,741000.0,551101.0
2011.09.09,780000.0,18000.0,785000.0,812000.0,777000.0,361802.0
2011.09.08,798000.0,25000.0,780000.0,802000.0,778000.0,574914.0
,,,,,,
,,,,,,
,,,,,,
2011.09.07,773000.0,46000.0,733000.0,778000.0,733000.0,351504.0
2011.09.06,727000.0,4000.0,726000.0,736000.0,710000.0,264505.0
2011.09.05,731000.0,38000.0,755000.0,756000.0,730000.0,277488.0
2011.09.02,769000.0,2000.0,765000.0,781000.0,763000.0,258682.0
2011.09.01,771000.0,27000.0,759000.0,788000.0,744000.0,717411.0
,,,,,,
