날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2011.02.09,960000.0,1000.0,973000.0,973000.0,951000.0,420301.0
2011.02.08,961000.0,11000.0,970000.0,974000.0,959000.0,610004.0
2011.02.07,972000.0,11000.0,1002000.0,1004000.0,972000.0,485191.0
2011.02.01,983000.0,2000.0,982000.0,995000.0,979000.0,269518.0
2011.01.31,981000.0,29000.0,1009000.0,1010000.0,981000.0,428852.0
,,,,,,
,,,,,,
,,,,,,
2011.01.28,1010000.0,16000.0,998000.0,1014000.0,990000.0,383021.0
2011.01.27,994000.0,4000.0,995000.0,1002000.0,991000.0,307490.0
2011.01.26,998000.0,23000.0,985000.0,999000.0,980000.0,267128.0
2011.01.25,975000.0,4000.0,972000.0,990000.0,971000.0,279580.0
2011.01.24,971000.0,0.0,968000.0,983000.0,966000.0,272455.0
,,,,,,
