날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2001.08.17,196000.0,1000.0,195000.0,198000.0,193500.0,354953.0
2001.08.16,195000.0,2500.0,192000.0,195000.0,191000.0,366645.0
2001.08.14,197500.0,6000.0,195000.0,198000.0,193500.0,424405.0
2001.08.13,191500.0,5000.0,188500.0,191500.0,187500.0,372898.0
2001.08.10,186500.0,3500.0,185500.0,189000.0,185500.0,231661.0
,,,,,,
,,,,,,
,,,,,,
2001.08.09,183000.0,7000.0,184500.0,186500.0,183000.0,583411.0
2001.08.08,190000.0,3000.0,191000.0,192000.0,187000.0,268180.0
2001.08.07,193000.0,6000.0,194000.0,195000.0,190500.0,441781.0
2001.08.06,199000.0,500.0,196500.0,200000.0,195000.0,322611.0
2001.08.03,199500.0,4000.0,200000.0,201000.0,197500.0,655941.0
,,,,,,
