날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
1997.04.24,59600.0,0.0,60000.0,60500.0,59100.0,82990.0
1997.04.23,59600.0,400.0,60000.0,60400.0,59200.0,84551.0
1997.04.22,60000.0,1500.0,61500.0,61700.0,60000.0,70210.0
1997.04.21,61500.0,900.0,62500.0,62900.0,61500.0,76890.0
1997.04.19,62400.0,2200.0,60500.0,62400.0,60500.0,48690.0
,,,,,,
,,,,,,
,,,,,,
1997.04.18,60200.0,800.0,61300.0,61700.0,59500.0,98810.0
1997.04.17,61000.0,900.0,61500.0,61800.0,60300.0,122360.0
1997.04.16,61900.0,600.0,61600.0,62000.0,61000.0,127780.0
1997.04.15,62500.0,900.0,63700.0,64000.0,62500.0,100500.0
1997.04.14,63400.0,800.0,62600.0,63900.0,62600.0,107090.0
,,,,,,
