날짜,종가,전일비,시가,고가,저가,거래량
,,,,,,
2017.11.01,2861000.0,107000.0,2875000.0,2875000.0,2809000.0,290205.0
2017.10.31,2754000.0,52000.0,2703000.0,2772000.0,2675000.0,267631.0
2017.10.30,2702000.0,48000.0,2689000.0,2716000.0,2685000.0,163923.0
2017.10.27,2654000.0,34000.0,2620000.0,2666000.0,2607000.0,147850.0
2017.10.26,2620000.0,75000.0,2686000.0,2695000.0,2620000.0,195531.0
,,,,,,
,,,,,,
,,,,,,
2017.10.25,2695000.0,7000.0,2702000.0,2721000.0,2685000.0,117657.0
2017.10.24,2702000.0,13000.0,2735000.0,2739000.0,2702000.0,116121.0
2017.10.23,2715000.0,23000.0,2730000.0,2732000.0,2700000.0,166221.0
2017.10.20,2692000.0,43000.0,2640000.0,2705000.0,2640000.0,160541.0
2017.10.19,2649000.0,89000.0,2735000.0,2735000.0,2649000.0,242174.0
,,,,,,
